Dog_Name,Dog_Breed
Rose,Mixed Breed
LULU,Sato
Otis,Mixed Breed
Maisie,Australian Cattle Dog
Bagel,Labradoodle
Ollie,Bernedoodle
Tala,Goldendoodle
Nala,Mixed Breed
Albie,LABRADOODLE
Bourbon,Miniature Pinscher
Georgie,Lhasa Apso
Lulu,Nova Scotia Duck Tolling Retriever
Murphy,Border Collie
Lucy,Goldendoodle
Ranger,Aust Shep Mix
King Shaka Zulu,Poodle
DAISY,Terrier Mix
Teddy,Mixed Breed
Alice,POINTER MIX
Piper,Australian Cattle Dog
Archie,Mixed Breed
Scout,Labrador Retriever
Sasha,Bichon Frise
Nigel,Goldendoodle
TWIG,Sato
Smoky Joe,Poodle
Julie,Labrador Retriever
Sweetea,Mixed Breed
Pippi,Golden Doodle
Artemis,Mixed Breed
Millie,mixed
Cooper,German Shorthaired Pointer
Marty Segel,Labradoodle
Talia,Labradoodle
Bailey,Labrador Retriever
Bootsy,Border collie
Nala,Mixed Breed
Levi,Golden Retriever
Bee Gee,Mixed Breed
Scooby,Labrador Retriever
Bisuit Carey,cockapoo
Winston,Mixed Breed
OBIE,Labrador Retriever
Indigo (Indi),Australian Shepherd
Candi,Greyhound
Maggie,Mixed Breed
Tasha,Chihuahua
Kamani,Border Collie
stuart little,Dachshund
Ruby,Duck Tolling Retriever
Ajax,Labrador Retriever Mix
Mookie,Mixed Breed
Olive,Golden Retriever
Izzy,Shih Tzu
Luna ,Shih Tzu
Wesley,Yellow Lab mix
DAISY,Golden  Retriever
AINSLEY,Labrador Retriever X
Fiona,Labradoodle
Mari,Border Collie
Maggie,Mixed Breed
Ziba,Labrador
RICKY,Australian  Shepherd
FINN ,French Bulldog
Atlas LeSoltis,Goldendoodle
Otis,American Pit Bull Terrier
Coco,Vizsla
Niko,Mixed Breed
Copper,Mixed Breed
LUCY,LABRADOR RETREIVER
Haku (Kohaku),Mixed Breed
Luka,Portuguese Water Dog
Bo,Cairn Terrier
Simba,Malamute
Rex,Maltese
REMO,Mixed Breed
Macchiato,Labradoodle
Bison,Cavalier King Charles Spaniel
Ditto,Tibetan Terrier
Benoit Tutokanula Bus,French Bulldog
Terry,Terrier
Jake,Australian Labradoodle
Winston Sullivan ,Labrador Retriever
MELLON,LABRADOR RETREIVER
Luna,Mixed Breed
Peaches,LABRADOR RETRIEVER
Sebastian,MINIATURE POODLE
Zoey,Golden Retriever
Manet,Poodle
Toni,Australian Shepherd
Charlie,Border Terrier Mix
Penny,Mixed Breed
Bailey,Labrador Retriever
NELLIE,Whoodle
Boris,pug
Orly Sommer,Siberian Husky
LUCY,Golden  Retriever
Waffles,Golden Retriever
Frank,Plott
Mochi,Labrador Retriever
Franklin,POODLE
Frankie,Mixed Breed
Kate,Mixed Breed
Bell,LAB DOODLE
Mica,Sato
CLOVER,Border Collie Mix
Milo,Mixed Breed
Honey,Mixed Breed
Mando,Australian Kelpie
Pele,Boston Terr.
Snickers,Cockapoo
GRACIE,Sheltie X
Mylo,Cockapoo
Charlie,Mixed Breed
Echo,labrador retriever
Maddie,West Highland White Terrier
Madison,Golden Retriever
Jessie,Labradoodle
Winslow,Mixed Breed
Ella,Newfoundland
FLASH,Border Collie
Kaya,Labrador Retriever Mix
Shadow,Mixed Breed
Reese,Chihuahua  Mix
Dotty,Australian Shepherd
Blue,Catahola Mix
Kkaebi,Korean Jindo Dog
Barkley,Goldendoodle
Rider,Labrador Retriever
Watson,Labradoodle
Penny,Golden Retriever
Ava,German Shepherd Dog
Jep,Mixed Breed
Copper,Nova Scotia Duck Tolling Retriever
Zoe,German Shepherd-Lab
BOOTS,Labrador Retriever X
Otto,Mixed Breed
Simon,Mixed Breed
Harry,Miniature Schnauzer
Winnie,Mixed Breed
Zoe,Mixed Breed
Archie Tyrone,Coton De  Tulear
Cooper,Golden Retriever
Duncan,Mixed Breed
Sadie,Siberian Husky
chance,Goldendoodle
Rowley,Golden Retriever
Kielo,Belgian Malinois
BRUTUS,Mixed Breed
Rudy,Miniature Schnauzer
BANNI,Terrier Mix
COCO,Springer Spaniel
Theodore ,Beagle
Jack,Poodle
Twyla,Poddle Mix
Maggie,Mixed Breed
Charlie,Mixed Breed
Odin,Airedale Terrier
Taffy,Chihuahua
Theo,English Cocker Spaniel
Kidja,Mixed Breed
Angel,Mixed Breed
Doolin,Golden Doodle
Laddie Boy,West Highland White Terrier
Poppy,Mixed Breed
Astrid,Mixed Breed
Nora,Mixed Breed
JUNE BUG,Schnauzer Mix
Kolsch,Miniature Schnauzer
ELSA,Yorksire Terrier
Moses,Australian Shepherd
Murphy,Mixed Breed
ANNIE,Pit Bull
Ogden,Golden Retriever
Walter,Norwich Terrier
SHEENA,English Bulldog
Bear,Mixed Breed
Emma ,Golden Retriever
Blue,Treeing Walker Coonhound
Colby,Cocker Spaniel
Nina,Mixed Breed
FINNEGAN,Golden Retriever
Sawyer,Mixed Breed
Bella (formerly known as Haute),Mixed Breed
Bo,Cocker Spaniel
Ginger,Mini Golden Doodle
Pemi,Bernedoodle
Mars ,Pug
Ivy,Lakeland Terrier
Gus Domanico,Mixed Breed
Sparrow,Shih Tsu
CAZ,Golden Doodle
Lucy,Miniature Pincher
BEAU,German Shepherd
Asta,Fox Terrier
Mina (changed from Bailey Jane),Mixed Breed
Chloe,Bernedoodle
ANNIE,TERRIER X
Nini,Lab  Mix
Jessie,Labrador Retriever
Pepper,Hound  Mix
Frankie,Labrador Retriever Mix
Arya,Mixed Breed
SHADOW,Golden  Retriever
George,Maltipoo
TEDDY,Terrier Mix
Itsy-Bitsy,Cocker Spaniel 
BILLIE,Australian Cattle Dog Mix
Josie,Labradoodle
Reesie,Mixed Breed
Shadow,Mixed Breed
Oliver,Mixed Breed
Abby,Labrador Retriever
Bingley,Golden Retreiver
Clarabelle,Swiss Mountain Dog X
Yoda,Mixed Breed
Miles,Mixed Breed
Malou,Golden doodle
Dexter,Mixed Breed
Digby,Lab Retriever Mix
Violet,Mixed Breed
Elvis,Hound  Mix
Aquinnah (formerly Rosie),Mixed breed
Lina,doodle
Roscoe,Staffordshire Bull Terrier
Coco,Shih Tzu
RORY,Collie X
Milo,POODLE MIX
Norma Jean,Scottish Terrier
Lacey,Mixed Breed
Fusilli,German Shepherd
Kiwi,MINI AUSSIE
Zoombow,Goldendoodle
Argos,Labrador Retriever Mix
LULU,goldendoodle
Manolo,Mixed Breed
OBIE,Cockerpoo
Rubio,Mixed Breed
Phoebe,Mixed Breed
Tello,Poodle
Jasmine,Mixed Breed
Lola,Goldendoodle
Porter,Mixed Breed
Puck,Chihuahua
Otis,Mixed Breed
Rufus,Mixed Breed
DOTTIE,Hound Mix
HUNTER,Maltipoo
Hercules,Cavalier King Charles Spaniel
CHARLIE,Shih Tzu X
Ash,Golden Retriever
Juno,Cavalier King Charles Spaniel
Mookie,HAVANESE
Charlie,Mixed Breed
Nellie,Terrier  Mix
Biko,VIZSLA
Zuko,Welsh Terrier
Otis,Mixed Breed
Bingley,Poodle
Woody,Pembroke Welsh Corgi
Maisie,Golden Retriever
Aspen ,Australian Shepherd
Mildred,Rottweiler
Trekker,GOLDEN RETIEVER
Ziggy Stardust Gage,Goldendoodle
Milo,Mixed Breed
Wallace,Brittany
TIA,Labrador Retriever X
Teddy Tallon,Bichon Frise
Chloe,English bulldog
Puck,Goldendoodle
GIGI,MINIATURE  POODLE
Motorino,Bernese Mountain Dog
Dali,LABRADOR RETREIVER
Penny,Shep Mix
Ruby,Mixed Breed 
Niu-Niu,Chow Chow
Fluffy,POMERANIAN
Lizzie,Poodle
Wilson,Bernedoodle
Charlie,Golden Retriever
Pilot,Pug Mix
Ben,Portuguese Water Dog
Beckett,Mixed Breed
Jasper,Mixed Breed
Maple,mixed
Pebbles,Chihuahua
OTTO,Bichon Frise
Roo,Collie
MILO,Chihuahua X
Anna,yorkie
Nomar,MIXED
Molly,Mixed Breed
Kirby,Shiba Inu
Maya,Mixed Breed
MILA,German Shepherd
Henry,Bichon Frise
Josephine ,Mixed Breed
Maudlin,Mixed Breed
Lola,Mixed Breed
Patrick,Toy Fox Terrier
Nora,Catahoula Mix
Bean (Magic Bean),Labrador Retriever
Chimi,Mixed Breed
Cara,Poodle (Standard)
max,Tibetan Terrier
Busy,CAIRN TERRIER
Cuchulainn,Goldendoodle
Ozzie,Mixed Breed
Keno,Standard poodle
Rosie,jack russell
CHLOE,Schnauzer Mix
Blue Comet,Mixed Breed
Sheila,Labradoodle
Echo,Mixed Breed
Toffee,Golden retriever
Nessie,Labrador Retriever
Nellie,Beagle Mix
Cali,Goldendoodle
Beans,Mixed Breed
Mina,Mixed Breed
Peanut,Bull Mastiff
Tucker Alvord,GOLDEN DOODLE MINI
Dewey,Portuguese Water Dog
Willy,Labraddoodle
Auggie ,Mixed Breed
Bergeron,Mixed Breed
Merry,Pembroke Welsh Corgi
Sophie Kline,Mixed Breed
Mali,Mixed Breed
OLIVER,Basset Hound
Max,Golden Retriever
CHLOE,Tzu-Chon
Roxanne,Bulldog
Rocket,Mixed Breed
Jetta,Yorkie Terrier X
Snug,labradoodle
Lacy,Blue Lacy
Fluffy,Goldendoodle
Jeff Williams,labredor retreiver
Bailey,Golden Retriever
Teddy,Labradoodle
Rosie,Goldendoodle
Ellie Jelly Belly K,Chocolate Lab
Winn,VIZSLA
Wolfie,Goldendoodle
Ducky Boy,American Pit Bull Terrier
Oliver,Mixed Breed
Mia,Mixed Breed
Mina,Labrador Retriever Mix
Ernie Hughes,Mixed Breed
Stella,Samoyed
Allie,Cavalier King Charles Spaniel
Raymond,Mixed Breed
Fiona,Boxer
Maisy,Mixed Breed
Yofi,Tibetan Terrier
Benny,Yorkipoo
Louie,Vizsla
Bruno,Mixed Breed
Finn,Mixed Breed
Ellie,Nova Scotia Duck Tolling Retriever
Chilton,Mixed Breed
Finn,Mixed Breed
Moxie,Shih Tzu
Hobbit,Beagle
Morgan,Mixed Breed
Obi,Cocker Spaniel
Harmony,terrier
Django,Soft Coated Wheaten Terrier
ROSIE,Boxer
Otto,American Staffordshire Terrier
Piper,french Brittany
Leon,Newfoundland
Lucy,sato
Bill,Mixed Breed
Etta,Terrier Mix
Marley,Mixed Breed
Ivy mamma,Lab mix
Cooper,Pomsky
Daphne,Viszla
Miso,Mixed Breed
Alba,Labradoodle
Erin,Mixed Breed
Dia ,Mixed Breed
Taz,Mixed Breed
Wendy,Mixed Breed
Rosie Green,Mixed Breed
Lolo,Mixed Breed
Ophelia,Golden Retriever
ROCCO,Mixed Breed
Ronja,HAVAPOO
Rosie,West Highland White Terrier
Rosie Bordone,Golden Ret
Casca,Beagle
cooper,Coton de Tulear
Brodie,Mixed Breed
Roscoe,Boston Terrier Mix
Nova,French Bulldog
CLEA,Jack Russel Terrier
Boone,Goldendoodle
RONNIE,Portuguese Water Dog
FRANKIE,Mix
SOFI,Shih Tzu
Preston,Poodle
Luna,Labrador Retriever
ISIS,Siberian Husky
Ruby,Collie
BENJI,Schnauzer Mix
Sophie,Bernedoodle
Flash,Labrador Retriever
Figgy,Mixed Breed
Ollie,Mixed Breed
Delphine,Chihuahua
Daisy,golden retriever
Gus,Shepherd Mix
Rigsby,Mutt
COOKIE,Yorksire Terrier
Lydia,Bernedoodle
Shadow,Labrador Retriever
Che,LABRADOODLE
Mika,Border Terrier
Navi,Mixed Breed
Sookie,Mixed Breed
Cosmo,Cavalier King Charles Spaniel
Sonny,Mixed Breed
Benny Levine,Mixed Breed
Olive Gardner,Mixed Breed
Sir Lancelot,French Bulldog
Skye,Golden Retriever
Louie ,Goldendoodle
Sunflower Sunshine (Sunny),Golden Retriever
Magnolia,Mixed Breed
Seva,Vizla Mix
Tootsie,Labrador Retreiver 
REX,Yorkshire  Terrier
Henry,Poodle
Dali Cicero,Poodle
Maisy,Cotton De Toulear
Penelope,Mixed Breed
Red,Beagle 
Bailey,Australian Kelpie Mix
Mr. Eliot,Mixed Breed
Oscar Wilde,Goldendoodle
Bono,Cockapoo
Buda,VIZSLA
Jamie,Labrador Retriever
Charlie,Mixed Breed
Olive,TERRIER X
Tagalong,LAB   MIX
LUCY,Cockapoo
Rumi,Samoyed
Oscar,LEONBERGER
DELILAH,LABRADOR RETREIVER
Kristoff,POMERANIAN   X
Emma,Labrador Retriever
Millie,Beagle
Edgar,Nova Scotia Duck Tolling Retriever
ZURI,Labrador Retriever X
Rocky,Mixed Breed
Bowie,Bernedoodle
Izzy,Goldendoodle
Oscar Madison,Golden Doodle
Izzy (Isabella),Yorkie
TUXEDO,Labrador Retriever X
LOUISA,Collie X
Gemma,Mixed Breed
Cadbury,Cockapoo
Willow,shih Tzu
Puck,Siberian Husky
Pellet,mixed breed
Ginger,Mixed Breed
DOOGIE,Labradoodle Mix
Doki,Shi Tzu
LULU,WHEATEN TERRIER
Ben Alan Donatello,Poodle
Nola,POODLE MIX
Oona,Mixed Breed
Comet,Mixed Breed
Lusa,Cockapoo
Rylie,Cairn Terrier Mix
Data,Mixed Breed
Chico,Mixed Breed
Yogi,HAVANESE
Breagha,Labrador Retriever
Stella,Goldendoodle
SPARKY,Labradoodle
Callie,Lab  Mix
Wilson,Corgi
Rescue,Labrador Retriever
Bella,Chihuahua
Madison,Mixed Breed
Lewis,Poodle
Beemo,Dachshund
Penny,Mixed Breed
Sonora,Great Pyrenees 
Princess Dolores,American Eskimo Dog
Captain,Maltese Shih Tzu
Luna,Goldendoodle
Valkyrie,Nova Scotia Duck Tolling Retriever
Tito,Norwich Terrier
Annie,Dachshund
Nomsi,Pug
Max,Golden Retriever
Badger,cockapoo
Zelda,Australian  Shepherd
Everly,Beagle
SCARLETT,Treeing Coonhound
Peaches,Mixed Breed
Otto,German Shorthaired Pointer
Rusty,Mixed Breed
Covie Adeff,Australian Cattle Dog
Marlowe,Mixed Breed
Milo,Boston Terrier
Grady,Mixed Breed
Pepper,Cockapoo
Zelda,Mixed Breed
Mikey,Poodle/Shitzu
Tupper,Treeing Walker Coonhound
Coconut,Bernedoodle
Puffin,Pug
Theo,Mixed Breed
PESO,Australian  Shepherd
Pepper,West Highland terrior
ABBY,Australian  Shepherd X
Russell,Mixed Breed
Russell,Golden Retriever
Tobie,West Highland White Terrier
Nila,Mixed Breed
Miller,Mixed Breed
Rudy,Mixed Breed
SACHI,German Shepherd
Celeste,Havanese
Toby,Soft Coated Wheaten Terrier
Brooklyn,Cavalier King Charles Spaniel
Parsley,Mixed Breed
Sammie,French Bulldog
Zelda,Mixed Breed
Julius,Golden Retriever
MAYA,SHELTIE
Bao Bao,Labrador Retriever
Teddy,multi poo
Jules,Labrador Retriever
ECCO,Labradoddle
Sofi,shilo shephard
SANDY,Shih Tzu
Toph,Mixed Breed
LUCY,Cockapoo
MARS,Pug X
Tucker,Siberian  Husky
Maple,Mixed Breed
Figgs,Mixed Breed
Cheo,Cocker
Yeti,Goldendoodle
WILLOW,LABRADOR RETRIEVER
Tessi,Bernedoodle
Georgia O'Keefe (Geo),English Setter
Caesar,Labradoodle
Misty,Mixed Breed
RAY RAY,Mix
Biscuit Grape-Juice,Treeing Walker Coonhound
BOLT,Basenji
Lucy ,Great Pyrenees
Walter,Mixed Breed
Jack,Poodle
Penny,Mixed Breed
Cassius,Mixed Breed
Tank,American Bully
Colby,Golden  Retriever
Cora,Mixed Breed
Pearl,labradoodle
Beau Kirpalani,GOLDEN DOODLE MINI
Harck,Great Pyrenees Mix
Lychee,Mixed Breed
BOOMER,Labradoddle
Keena,golden mix
Enzo,Labradoodle
Elise,English Cocker Spaniel
Alfie,Brittany
ARCHIE,Newfoundland
Cheese,Labrador Retriever
Ada,Mixed Breed
Sebastian,Pitbull
Ellie,Mixed Breed
IZZY,Spaniel Mix
Kobe,Sheltie X
Freddy,Shep Mix
CATO,Golden Doodle
Clyde,Mixed Breed
Maisie,Norwich Terrier
Josie,yorkie/poodle
Greta,German Shepherd Dog
MAVERICK,LABRADOODLE
PANDA,Portuguese  Water  Dog
Maggie Mae,Dachshund
Brady,pug
Butchie,Yorkshire
Chloe,Mixed Breed
Phoebe,Labradoodle
Charlie,Mixed Breed
Seymour,Mixed Breed
Basil,Border Collie
Luna,Labrador Retriever
Ellie,Beagle  Mix
Lucy,Mixed Breed
Chip,Miniature Pinscher
ALLIE,Cockerpoo
Jesse,Poodle
BACI,LABRADOR RETREIVER
Stevie,Mixed Breed
Olive,Mixed Breed
Daisy (shelter name: Delilah) ,Jack Russell Terrier
Sugar,Mixed Breed
Emma,Mixed Breed
Abel,Mixed Breed
Otis,Mixed Breed
Bella,Mixed Breed
MAYBEL,Chihuahua X
Daisy,Poodle
Millie,Boxer mix
TIGER,Cockerpoo
Macaron,Shiba Inu
Emmit,POODLE
Maisie,Terrier
Noodle,Mixed Breed
Wolfie,Australian Shepherd
Masie Pearl,Mixed Breed
Auggie,Mixed Breed
Fenway,Golden Retriever
Peadar ,Jack Russell Terrier
Archie,Mixed Breed
Maggie,Golden Retriever
Henny,Boxer
WINNIE,POODLE
Taro,Jack Russell Terrier
Hal,Havanese
Belinda,LABRADOODLE
Luna,Standard Poodle
Bodacious Pritchard,Mixed Breed
Belle,Mixed Breed
Lulu,Australian Labadoodle
Susy,Mixed Breed
